id_avaliacao,id_funcionario,data_avaliacao,comunicacao,trabalho_equipe,qualidade_entrega,proatividade,lideranca,nota_final,observacao
1,1,2024-06-30,9.4,6.2,7.2,5.8,,7.2,Desempenho dentro do esperado.
2,1,2024-12-31,6.9,9.6,9.1,8.1,,8.4,Desempenho dentro do esperado.
3,1,2025-06-30,5.4,6.1,6.0,8.9,,6.6,Desempenho dentro do esperado.
4,1,2025-12-31,8.1,7.1,7.7,8.3,,7.8,Desempenho dentro do esperado.
5,2,2024-06-30,7.1,9.3,8.0,10.0,,8.6,Desempenho acima do esperado.
6,2,2024-12-31,6.4,7.8,7.9,6.6,,7.2,Desempenho dentro do esperado.
7,2,2025-06-30,8.3,9.3,9.6,4.3,,7.9,Desempenho dentro do esperado.
8,2,2025-12-31,7.6,8.0,7.5,7.7,,7.7,Desempenho dentro do esperado.
9,3,2024-12-31,8.3,8.4,6.0,4.6,8.8,7.2,Desempenho dentro do esperado.
10,3,2025-06-30,6.5,7.2,7.0,7.6,8.7,7.4,Desempenho dentro do esperado.
11,3,2025-12-31,6.4,7.6,7.1,9.7,8.1,7.8,Desempenho dentro do esperado.
12,5,2024-06-30,9.0,7.4,8.3,8.5,,8.3,Desempenho dentro do esperado.
13,5,2024-12-31,7.0,8.9,6.7,7.2,,7.5,Desempenho dentro do esperado.
14,5,2025-06-30,5.9,8.0,9.2,6.3,,7.3,Desempenho dentro do esperado.
15,5,2025-12-31,7.6,7.3,5.8,6.5,,6.8,Desempenho dentro do esperado.
16,7,2024-06-30,8.3,5.2,8.3,8.2,,7.5,Desempenho dentro do esperado.
17,7,2024-12-31,4.9,5.1,6.4,6.9,,5.8,Plano de desenvolvimento recomendado.
18,7,2025-06-30,8.1,8.0,8.2,7.7,,8.0,Desempenho dentro do esperado.
19,7,2025-12-31,5.4,4.6,7.5,7.5,,6.2,Desempenho dentro do esperado.
20,9,2024-06-30,7.3,8.9,7.0,9.7,,8.2,Desempenho dentro do esperado.
21,9,2024-12-31,6.3,7.8,4.1,8.1,,6.6,Desempenho dentro do esperado.
22,9,2025-06-30,7.3,7.7,6.3,7.6,,7.2,Desempenho dentro do esperado.
23,9,2025-12-31,7.8,7.6,8.8,7.5,,7.9,Desempenho dentro do esperado.
24,10,2024-06-30,6.8,6.7,7.0,7.0,,6.9,Desempenho dentro do esperado.
25,10,2024-12-31,7.2,6.8,5.9,7.8,,6.9,Desempenho dentro do esperado.
26,10,2025-06-30,5.3,7.1,7.6,8.3,,7.1,Desempenho dentro do esperado.
27,10,2025-12-31,6.3,6.8,5.6,6.5,,6.3,Desempenho dentro do esperado.
28,12,2024-06-30,8.0,8.2,7.6,8.2,,8.0,Desempenho dentro do esperado.
29,12,2024-12-31,7.5,6.3,7.6,6.4,,7.0,Desempenho dentro do esperado.
30,12,2025-06-30,8.5,6.7,6.8,7.9,,7.5,Desempenho dentro do esperado.
31,12,2025-12-31,7.4,7.9,5.0,6.7,,6.8,Desempenho dentro do esperado.
32,13,2024-06-30,7.9,6.9,8.6,7.4,,7.7,Desempenho dentro do esperado.
33,13,2024-12-31,7.8,6.6,8.6,6.4,,7.3,Desempenho dentro do esperado.
34,13,2025-06-30,8.3,5.3,8.3,9.1,,7.8,Desempenho dentro do esperado.
35,13,2025-12-31,4.8,7.2,6.6,7.0,,6.4,Desempenho dentro do esperado.
36,14,2024-06-30,6.0,5.9,7.0,9.4,,7.1,Desempenho dentro do esperado.
37,14,2024-12-31,7.7,8.1,6.2,8.7,,7.7,Desempenho dentro do esperado.
38,14,2025-06-30,7.8,7.6,9.3,7.4,,8.0,Desempenho dentro do esperado.
39,14,2025-12-31,8.6,5.4,8.2,4.8,,6.8,Desempenho dentro do esperado.
40,15,2024-06-30,8.0,5.8,7.4,7.6,,7.2,Desempenho dentro do esperado.
41,15,2024-12-31,6.3,9.1,7.1,7.5,,7.5,Desempenho dentro do esperado.
42,15,2025-06-30,7.1,6.9,4.9,7.5,,6.6,Desempenho dentro do esperado.
43,15,2025-12-31,5.7,9.2,8.4,6.5,,7.5,Desempenho dentro do esperado.
44,16,2024-06-30,7.2,6.1,6.7,6.5,,6.6,Desempenho dentro do esperado.
45,16,2024-12-31,7.2,7.7,7.4,6.7,,7.2,Desempenho dentro do esperado.
46,16,2025-06-30,6.6,8.8,5.2,5.3,,6.5,Desempenho dentro do esperado.
47,17,2024-06-30,7.4,7.6,7.2,8.5,,7.7,Desempenho dentro do esperado.
48,17,2024-12-31,7.4,7.6,9.1,9.2,,8.3,Desempenho dentro do esperado.
49,17,2025-06-30,7.4,8.5,8.0,6.0,,7.5,Desempenho dentro do esperado.
50,17,2025-12-31,6.8,7.7,5.6,5.7,,6.5,Desempenho dentro do esperado.
51,18,2024-06-30,7.1,9.7,5.9,7.4,,7.5,Desempenho dentro do esperado.
52,18,2024-12-31,4.5,7.8,7.8,8.9,,7.2,Desempenho dentro do esperado.
53,18,2025-06-30,5.5,8.0,7.8,8.8,,7.5,Desempenho dentro do esperado.
54,18,2025-12-31,7.8,7.8,6.9,7.7,,7.5,Desempenho dentro do esperado.
55,19,2024-06-30,6.4,5.8,5.9,8.2,,6.6,Desempenho dentro do esperado.
56,19,2024-12-31,8.1,6.1,6.0,7.7,,7.0,Desempenho dentro do esperado.
57,19,2025-06-30,6.8,7.6,6.4,9.2,,7.5,Desempenho dentro do esperado.
58,19,2025-12-31,6.7,8.4,5.6,7.3,,7.0,Desempenho dentro do esperado.
59,20,2024-06-30,8.0,6.3,7.2,7.9,,7.3,Desempenho dentro do esperado.
60,20,2024-12-31,8.5,7.7,7.3,6.6,,7.5,Desempenho dentro do esperado.
61,20,2025-06-30,9.0,6.9,7.0,7.2,,7.5,Desempenho dentro do esperado.
62,20,2025-12-31,8.0,7.7,10.0,9.4,,8.8,Desempenho acima do esperado.
63,21,2024-06-30,8.9,8.2,6.3,7.5,6.1,7.4,Desempenho dentro do esperado.
64,21,2024-12-31,6.4,8.2,7.0,5.7,7.4,6.9,Desempenho dentro do esperado.
65,21,2025-06-30,7.8,6.4,9.3,7.5,6.9,7.6,Desempenho dentro do esperado.
66,21,2025-12-31,9.1,6.9,6.3,7.6,7.6,7.5,Desempenho dentro do esperado.
67,22,2024-06-30,6.9,8.3,7.7,7.3,,7.6,Desempenho dentro do esperado.
68,22,2024-12-31,7.1,6.9,8.7,7.1,,7.4,Desempenho dentro do esperado.
69,22,2025-06-30,6.9,6.5,6.8,9.0,,7.3,Desempenho dentro do esperado.
70,22,2025-12-31,9.3,7.2,8.0,9.8,,8.6,Desempenho acima do esperado.
71,23,2024-06-30,5.2,5.4,7.2,6.8,6.8,6.3,Desempenho dentro do esperado.
72,23,2024-12-31,7.3,6.8,5.9,6.5,5.7,6.4,Desempenho dentro do esperado.
73,23,2025-06-30,7.1,6.9,9.7,7.6,5.9,7.4,Desempenho dentro do esperado.
74,23,2025-12-31,6.2,8.1,8.2,6.5,7.6,7.3,Desempenho dentro do esperado.
75,24,2024-06-30,5.8,7.5,9.1,8.0,7.4,7.6,Desempenho dentro do esperado.
76,24,2024-12-31,4.9,6.5,7.4,8.6,7.4,7.0,Desempenho dentro do esperado.
77,24,2025-06-30,7.2,8.2,8.3,5.5,7.2,7.3,Desempenho dentro do esperado.
78,24,2025-12-31,7.7,6.7,6.2,7.7,7.4,7.1,Desempenho dentro do esperado.
79,25,2024-06-30,7.8,6.8,7.9,7.2,6.6,7.3,Desempenho dentro do esperado.
80,25,2024-12-31,5.8,6.9,6.5,10.0,7.3,7.3,Desempenho dentro do esperado.
81,25,2025-06-30,7.7,10.0,6.4,6.2,6.2,7.3,Desempenho dentro do esperado.
82,25,2025-12-31,7.4,7.5,8.0,7.5,9.1,7.9,Desempenho dentro do esperado.
83,26,2024-06-30,8.5,8.3,10.0,8.6,,8.8,Desempenho acima do esperado.
84,26,2024-12-31,6.9,9.1,8.0,5.2,,7.3,Desempenho dentro do esperado.
85,26,2025-06-30,8.9,5.3,6.3,5.9,,6.6,Desempenho dentro do esperado.
86,26,2025-12-31,6.5,7.0,5.1,5.6,,6.0,Desempenho dentro do esperado.
87,27,2024-06-30,8.6,9.1,7.3,7.6,,8.2,Desempenho dentro do esperado.
88,27,2024-12-31,8.2,8.8,7.8,4.6,,7.3,Desempenho dentro do esperado.
89,28,2024-06-30,8.0,7.3,6.8,6.4,5.9,6.9,Desempenho dentro do esperado.
90,28,2024-12-31,5.0,7.8,9.3,6.6,9.9,7.7,Desempenho dentro do esperado.
91,28,2025-06-30,5.9,7.6,6.4,8.0,7.4,7.1,Desempenho dentro do esperado.
92,28,2025-12-31,8.1,6.2,6.8,7.5,7.0,7.1,Desempenho dentro do esperado.
93,29,2024-06-30,8.2,6.6,8.9,7.8,,7.9,Desempenho dentro do esperado.
94,29,2024-12-31,5.4,6.1,8.8,6.8,,6.8,Desempenho dentro do esperado.
95,29,2025-06-30,7.7,6.1,7.5,7.9,,7.3,Desempenho dentro do esperado.
96,29,2025-12-31,5.7,7.0,4.8,9.6,,6.8,Desempenho dentro do esperado.
97,30,2024-06-30,7.0,6.1,8.1,8.3,,7.4,Desempenho dentro do esperado.
98,30,2024-12-31,9.0,7.6,7.2,8.6,,8.1,Desempenho dentro do esperado.
99,30,2025-06-30,5.1,5.6,8.2,7.7,,6.6,Desempenho dentro do esperado.
100,30,2025-12-31,8.4,9.5,8.1,9.3,,8.8,Desempenho acima do esperado.
101,31,2024-06-30,7.5,4.3,8.6,5.5,7.8,6.7,Desempenho dentro do esperado.
102,31,2024-12-31,6.3,7.2,7.8,7.9,7.5,7.3,Desempenho dentro do esperado.
103,31,2025-06-30,6.2,7.6,8.8,5.5,8.2,7.3,Desempenho dentro do esperado.
104,31,2025-12-31,6.3,6.1,7.8,7.0,6.8,6.8,Desempenho dentro do esperado.
105,32,2024-06-30,7.3,8.2,8.1,5.1,,7.2,Desempenho dentro do esperado.
106,32,2024-12-31,7.9,6.7,6.3,7.9,,7.2,Desempenho dentro do esperado.
107,32,2025-06-30,6.8,7.2,9.5,6.9,,7.6,Desempenho dentro do esperado.
108,32,2025-12-31,8.1,9.7,5.3,7.6,,7.7,Desempenho dentro do esperado.
109,33,2024-12-31,8.1,7.8,7.2,6.8,,7.5,Desempenho dentro do esperado.
110,33,2025-06-30,6.9,5.1,5.8,5.9,,5.9,Plano de desenvolvimento recomendado.
