id_presenca,id_funcionario,data_registro,status_presenca
1,1,2025-01-01,Presente
2,1,2025-01-02,Presente
3,1,2025-01-03,Presente
4,1,2025-01-06,Presente
5,1,2025-01-07,Presente
6,1,2025-01-08,Presente
7,1,2025-01-09,Presente
8,1,2025-01-10,Presente
9,1,2025-01-13,Presente
10,1,2025-01-14,Presente
11,1,2025-01-15,Presente
12,1,2025-01-16,Presente
13,1,2025-01-17,Presente
14,1,2025-01-20,Presente
15,1,2025-01-21,Presente
16,1,2025-01-22,Presente
17,1,2025-01-23,Presente
18,1,2025-01-24,Folga
19,1,2025-01-27,Presente
20,1,2025-01-28,Férias
21,1,2025-01-29,Presente
22,1,2025-01-30,Presente
23,1,2025-01-31,Presente
24,1,2025-02-03,Falta
25,1,2025-02-04,Presente
26,1,2025-02-05,Presente
27,1,2025-02-06,Férias
28,1,2025-02-07,Presente
29,1,2025-02-10,Presente
30,1,2025-02-11,Atestado
31,1,2025-02-12,Férias
32,1,2025-02-13,Presente
33,1,2025-02-14,Presente
34,1,2025-02-17,Presente
35,1,2025-02-18,Atestado
36,1,2025-02-19,Presente
37,1,2025-02-20,Presente
38,1,2025-02-21,Presente
39,1,2025-02-24,Presente
40,1,2025-02-25,Presente
41,1,2025-02-26,Falta
42,1,2025-02-27,Presente
43,1,2025-02-28,Presente
44,1,2025-03-03,Férias
45,1,2025-03-04,Presente
46,1,2025-03-05,Férias
47,1,2025-03-06,Presente
48,1,2025-03-07,Presente
49,1,2025-03-10,Presente
50,1,2025-03-11,Presente
51,1,2025-03-12,Presente
52,1,2025-03-13,Presente
53,1,2025-03-14,Presente
54,1,2025-03-17,Presente
55,1,2025-03-18,Presente
56,1,2025-03-19,Presente
57,1,2025-03-20,Férias
58,1,2025-03-21,Presente
59,1,2025-03-24,Presente
60,1,2025-03-25,Atestado
61,1,2025-03-26,Presente
62,1,2025-03-27,Presente
63,1,2025-03-28,Presente
64,1,2025-03-31,Presente
65,1,2025-04-01,Presente
66,1,2025-04-02,Presente
67,1,2025-04-03,Presente
68,1,2025-04-04,Presente
69,1,2025-04-07,Presente
70,1,2025-04-08,Presente
71,1,2025-04-09,Presente
72,1,2025-04-10,Presente
73,1,2025-04-11,Presente
74,1,2025-04-14,Presente
75,1,2025-04-15,Presente
76,1,2025-04-16,Presente
77,1,2025-04-17,Presente
78,1,2025-04-18,Presente
79,1,2025-04-21,Presente
80,1,2025-04-22,Presente
81,1,2025-04-23,Presente
82,1,2025-04-24,Presente
83,1,2025-04-25,Presente
84,1,2025-04-28,Atestado
85,1,2025-04-29,Presente
86,1,2025-04-30,Presente
87,1,2025-05-01,Presente
88,1,2025-05-02,Presente
89,1,2025-05-05,Presente
90,1,2025-05-06,Presente
91,1,2025-05-07,Presente
92,1,2025-05-08,Presente
93,1,2025-05-09,Presente
94,1,2025-05-12,Presente
95,1,2025-05-13,Presente
96,1,2025-05-14,Presente
97,1,2025-05-15,Presente
98,1,2025-05-16,Presente
99,1,2025-05-19,Férias
100,1,2025-05-20,Presente
101,1,2025-05-21,Presente
102,1,2025-05-22,Atestado
103,1,2025-05-23,Presente
104,1,2025-05-26,Presente
105,1,2025-05-27,Presente
106,1,2025-05-28,Férias
107,1,2025-05-29,Presente
108,1,2025-05-30,Presente
109,1,2025-06-02,Presente
110,1,2025-06-03,Presente
111,1,2025-06-04,Presente
112,1,2025-06-05,Presente
113,1,2025-06-06,Férias
114,1,2025-06-09,Presente
115,1,2025-06-10,Presente
116,1,2025-06-11,Falta
117,1,2025-06-12,Presente
118,1,2025-06-13,Presente
119,1,2025-06-16,Presente
120,1,2025-06-17,Presente
121,1,2025-06-18,Presente
122,1,2025-06-19,Presente
123,1,2025-06-20,Presente
124,1,2025-06-23,Presente
125,1,2025-06-24,Presente
126,1,2025-06-25,Presente
127,1,2025-06-26,Presente
128,1,2025-06-27,Presente
129,1,2025-06-30,Atestado
130,1,2025-07-01,Folga
131,1,2025-07-02,Presente
132,1,2025-07-03,Presente
133,1,2025-07-04,Presente
134,1,2025-07-07,Presente
135,1,2025-07-08,Presente
136,1,2025-07-09,Presente
137,1,2025-07-10,Presente
138,1,2025-07-11,Presente
139,1,2025-07-14,Presente
140,1,2025-07-15,Presente
141,1,2025-07-16,Presente
142,1,2025-07-17,Presente
143,1,2025-07-18,Falta
144,1,2025-07-21,Presente
145,1,2025-07-22,Presente
146,1,2025-07-23,Presente
147,1,2025-07-24,Presente
148,1,2025-07-25,Presente
149,1,2025-07-28,Presente
150,1,2025-07-29,Presente
151,1,2025-07-30,Presente
152,1,2025-07-31,Presente
153,1,2025-08-01,Presente
154,1,2025-08-04,Presente
155,1,2025-08-05,Presente
156,1,2025-08-06,Presente
157,1,2025-08-07,Presente
158,1,2025-08-08,Presente
159,1,2025-08-11,Presente
160,1,2025-08-12,Presente
161,1,2025-08-13,Presente
162,1,2025-08-14,Presente
163,1,2025-08-15,Presente
164,1,2025-08-18,Presente
165,1,2025-08-19,Presente
166,1,2025-08-20,Presente
167,1,2025-08-21,Presente
168,1,2025-08-22,Presente
169,1,2025-08-25,Presente
170,1,2025-08-26,Presente
171,1,2025-08-27,Presente
172,1,2025-08-28,Presente
173,1,2025-08-29,Falta
174,1,2025-09-01,Presente
175,1,2025-09-02,Presente
176,1,2025-09-03,Presente
177,1,2025-09-04,Presente
178,1,2025-09-05,Presente
179,1,2025-09-08,Presente
180,1,2025-09-09,Presente
181,1,2025-09-10,Presente
182,1,2025-09-11,Atestado
183,1,2025-09-12,Presente
184,1,2025-09-15,Presente
185,1,2025-09-16,Folga
186,1,2025-09-17,Presente
187,1,2025-09-18,Presente
188,1,2025-09-19,Presente
189,1,2025-09-22,Presente
190,1,2025-09-23,Presente
191,1,2025-09-24,Presente
192,1,2025-09-25,Presente
193,1,2025-09-26,Presente
194,1,2025-09-29,Presente
195,1,2025-09-30,Presente
196,1,2025-10-01,Presente
197,1,2025-10-02,Presente
198,1,2025-10-03,Presente
199,1,2025-10-06,Presente
200,1,2025-10-07,Presente
201,1,2025-10-08,Presente
202,1,2025-10-09,Presente
203,1,2025-10-10,Presente
204,1,2025-10-13,Presente
205,1,2025-10-14,Férias
206,1,2025-10-15,Presente
207,1,2025-10-16,Férias
208,1,2025-10-17,Presente
209,1,2025-10-20,Presente
210,1,2025-10-21,Presente
211,1,2025-10-22,Presente
212,1,2025-10-23,Presente
213,1,2025-10-24,Presente
214,1,2025-10-27,Presente
215,1,2025-10-28,Presente
216,1,2025-10-29,Presente
217,1,2025-10-30,Atestado
218,1,2025-10-31,Presente
219,1,2025-11-03,Presente
220,1,2025-11-04,Presente
221,1,2025-11-05,Presente
222,1,2025-11-06,Férias
223,1,2025-11-07,Presente
224,1,2025-11-10,Presente
225,1,2025-11-11,Presente
226,1,2025-11-12,Presente
227,1,2025-11-13,Presente
228,1,2025-11-14,Presente
229,1,2025-11-17,Presente
230,1,2025-11-18,Presente
231,1,2025-11-19,Presente
232,1,2025-11-20,Presente
233,1,2025-11-21,Presente
234,1,2025-11-24,Presente
235,1,2025-11-25,Presente
236,1,2025-11-26,Presente
237,1,2025-11-27,Atestado
238,1,2025-11-28,Presente
239,1,2025-12-01,Presente
240,1,2025-12-02,Presente
241,1,2025-12-03,Presente
242,1,2025-12-04,Presente
243,1,2025-12-05,Presente
244,1,2025-12-08,Presente
245,1,2025-12-09,Presente
246,1,2025-12-10,Presente
247,1,2025-12-11,Presente
248,1,2025-12-12,Presente
249,1,2025-12-15,Presente
250,1,2025-12-16,Presente
251,1,2025-12-17,Presente
252,1,2025-12-18,Presente
253,1,2025-12-19,Presente
254,1,2025-12-22,Presente
255,1,2025-12-23,Presente
256,1,2025-12-24,Presente
257,1,2025-12-25,Presente
258,1,2025-12-26,Presente
259,1,2025-12-29,Presente
260,1,2025-12-30,Presente
261,1,2025-12-31,Presente
